% time spent exploring,episodes,reward,steps,mean 100 episode reward
99,2,29.0,28,29.0
99,3,18.0,46,23.5
99,4,17.0,63,21.3
99,5,9.0,72,18.2
99,6,27.0,99,20.0
98,7,17.0,116,19.5
98,8,22.0,138,19.9
98,9,22.0,160,20.1
98,10,23.0,183,20.4
97,11,33.0,216,21.7
97,12,29.0,245,22.4
97,13,34.0,279,23.3
96,14,28.0,307,23.7
96,15,30.0,337,24.1
96,16,25.0,362,24.2
96,17,16.0,378,23.7
96,18,15.0,393,23.2
96,19,12.0,405,22.6
95,20,30.0,435,22.9
95,21,47.0,482,24.2
95,22,15.0,497,23.7
94,23,33.0,530,24.1
94,24,17.0,547,23.8
94,25,51.0,598,25.0
93,26,16.0,614,24.6
93,27,13.0,627,24.2
93,28,27.0,654,24.3
93,29,32.0,686,24.5
93,30,12.0,698,24.1
93,31,11.0,709,23.7
92,32,21.0,730,23.6
92,33,37.0,767,24.0
92,34,18.0,785,23.8
92,35,12.0,797,23.5
91,36,24.0,821,23.5
91,37,31.0,852,23.7
91,38,18.0,870,23.5
91,39,15.0,885,23.3
90,40,40.0,925,23.7
90,41,17.0,942,23.6
90,42,31.0,973,23.8
90,43,31.0,1004,23.9
89,44,32.0,1036,24.1
89,45,23.0,1059,24.1
89,46,36.0,1095,24.4
89,47,24.0,1119,24.3
88,48,13.0,1132,24.1
88,49,14.0,1146,23.9
88,50,17.0,1163,23.8
88,51,24.0,1187,23.8
88,52,19.0,1206,23.7
88,53,18.0,1224,23.6
87,54,14.0,1238,23.4
87,55,9.0,1247,23.1
87,56,17.0,1264,23.0
87,57,30.0,1294,23.1
87,58,25.0,1319,23.2
86,59,25.0,1344,23.2
86,60,13.0,1357,23.0
86,61,44.0,1401,23.4
86,62,12.0,1413,23.2
86,63,11.0,1424,23.0
85,64,32.0,1456,23.1
85,65,21.0,1477,23.1
85,66,50.0,1527,23.5
84,67,16.0,1543,23.4
84,68,23.0,1566,23.4
84,69,12.0,1578,23.2
84,70,17.0,1595,23.1
84,71,18.0,1613,23.1
84,72,13.0,1626,22.9
83,73,20.0,1646,22.9
83,74,22.0,1668,22.9
83,75,25.0,1693,22.9
83,76,12.0,1705,22.7
82,77,51.0,1756,23.1
82,78,23.0,1779,23.1
82,79,37.0,1816,23.3
82,80,16.0,1832,23.2
81,81,13.0,1845,23.1
81,82,11.0,1856,22.9
81,83,18.0,1874,22.9
81,84,22.0,1896,22.9
81,85,10.0,1906,22.7
81,86,13.0,1919,22.6
81,87,17.0,1936,22.5
80,88,10.0,1946,22.4
80,89,15.0,1961,22.3
80,90,11.0,1972,22.2
80,91,12.0,1984,22.1
80,92,24.0,2008,22.1
79,93,41.0,2049,22.3
79,94,57.0,2106,22.7
