episodes,% time spent exploring,mean 100 episode reward,steps,reward
2,10,14.0,13,14.0
3,10,17.0,33,20.0
4,10,15.0,44,11.0
5,10,15.8,62,18.0
6,10,14.8,73,11.0
7,10,16.7,99,26.0
8,10,16.4,114,15.0
9,10,16.1,128,14.0
10,10,15.7,140,12.0
11,10,16.3,162,22.0
12,10,15.7,172,10.0
13,10,15.9,190,18.0
14,10,16.5,213,23.0
15,10,17.1,239,26.0
16,10,17.5,261,22.0
17,10,17.6,281,20.0
18,10,17.9,303,22.0
19,10,17.4,312,9.0
20,10,17.3,328,16.0
21,10,17.0,340,12.0
22,10,17.7,371,31.0
23,10,17.9,393,22.0
24,10,18.0,412,19.0
25,10,17.7,424,12.0
26,10,17.3,432,8.0
27,10,17.1,444,12.0
28,10,16.9,455,11.0
29,10,16.6,463,8.0
30,10,17.3,501,38.0
31,10,17.2,516,15.0
32,10,17.6,544,28.0
33,10,17.5,560,16.0
34,10,17.5,576,16.0
35,10,18.2,618,42.0
36,10,18.1,632,14.0
37,10,18.1,652,20.0
38,10,18.1,670,18.0
39,10,18.4,699,29.0
40,10,18.5,719,20.0
41,10,18.4,733,14.0
42,10,18.2,747,14.0
43,10,18.1,759,12.0
44,10,18.1,776,17.0
45,10,18.5,812,36.0
46,10,18.8,845,33.0
47,10,19.1,877,32.0
48,10,19.3,907,30.0
49,10,19.2,921,14.0
50,10,19.4,950,29.0
51,10,19.9,996,46.0
52,10,19.8,1009,13.0
53,10,19.6,1020,11.0
54,10,19.5,1030,10.0
55,10,19.3,1040,10.0
56,10,19.1,1049,9.0
57,10,19.1,1067,18.0
58,10,19.2,1091,24.0
59,10,19.4,1125,34.0
60,10,19.4,1143,18.0
61,10,19.3,1159,16.0
62,10,19.4,1180,21.0
63,10,19.3,1196,16.0
64,10,19.4,1223,27.0
65,10,19.7,1258,35.0
66,10,19.5,1267,9.0
67,10,19.4,1281,14.0
68,10,19.9,1335,54.0
69,10,19.8,1345,10.0
70,10,19.7,1355,10.0
71,10,19.6,1369,14.0
72,10,19.6,1392,23.0
73,10,19.5,1402,10.0
74,10,19.4,1413,11.0
75,10,19.2,1422,9.0
76,10,19.1,1435,13.0
77,10,19.1,1449,14.0
78,10,19.0,1461,12.0
79,10,18.9,1475,14.0
80,10,18.9,1490,15.0
81,10,18.8,1502,12.0
82,10,18.7,1511,9.0
83,10,18.9,1545,34.0
84,10,18.9,1569,24.0
85,10,18.9,1585,16.0
86,10,18.8,1599,14.0
87,10,18.7,1609,10.0
88,10,18.6,1620,11.0
89,10,18.5,1629,9.0
90,10,18.4,1639,10.0
91,10,18.3,1649,10.0
92,10,18.3,1660,11.0
93,10,18.2,1669,9.0
94,10,18.1,1680,11.0
95,10,18.0,1688,8.0
96,10,17.9,1697,9.0
97,10,17.8,1706,9.0
98,10,17.7,1717,11.0
99,10,17.7,1729,12.0
100,10,17.6,1739,10.0
101,10,17.5,1750,11.0
102,10,17.5,1761,11.0
103,10,17.4,1777,16.0
104,10,17.5,1791,14.0
105,10,17.4,1802,11.0
106,10,17.4,1811,9.0
107,10,17.2,1820,9.0
108,10,17.1,1828,8.0
109,10,17.1,1836,8.0
110,10,17.1,1846,10.0
111,10,16.9,1854,8.0
112,10,16.9,1865,11.0
113,10,16.8,1875,10.0
114,10,16.7,1887,12.0
115,10,16.6,1899,12.0
116,10,16.5,1910,11.0
117,10,16.4,1922,12.0
118,10,16.3,1931,9.0
119,10,16.3,1942,11.0
120,10,16.2,1952,10.0
121,10,16.2,1961,9.0
122,10,16.0,1970,9.0
123,10,15.9,1982,12.0
124,10,15.8,1992,10.0
125,10,15.8,2001,9.0
126,10,16.0,2030,29.0
127,10,16.0,2039,9.0
128,10,15.9,2048,9.0
129,10,16.0,2058,10.0
130,10,15.7,2068,10.0
131,10,15.6,2077,9.0
132,10,15.4,2088,11.0
133,10,15.4,2097,9.0
134,10,15.3,2106,9.0
135,10,15.0,2117,11.0
136,10,15.0,2128,11.0
137,10,14.9,2138,10.0
138,10,14.8,2146,8.0
139,10,14.6,2157,11.0
140,10,14.5,2169,12.0
141,10,14.5,2181,12.0
142,10,14.4,2192,11.0
143,10,14.4,2202,10.0
144,10,14.4,2215,13.0
145,10,14.1,2224,9.0
146,10,13.9,2234,10.0
147,10,13.7,2247,13.0
148,10,13.5,2256,9.0
149,10,13.5,2267,11.0
150,10,13.3,2277,10.0
151,10,12.9,2288,11.0
152,10,12.9,2297,9.0
153,10,12.9,2307,10.0
154,10,12.9,2316,9.0
155,10,12.8,2325,9.0
156,10,12.8,2334,9.0
157,10,12.8,2345,11.0
158,10,12.6,2355,10.0
159,10,12.4,2366,11.0
160,10,12.3,2375,9.0
161,10,12.3,2385,10.0
162,10,12.1,2394,9.0
163,10,12.1,2406,12.0
164,10,11.9,2416,10.0
165,10,11.7,2426,10.0
166,10,11.7,2436,10.0
167,10,11.6,2445,9.0
168,10,11.2,2454,9.0
169,10,11.2,2463,9.0
170,10,11.2,2474,11.0
171,10,11.2,2486,12.0
172,10,11.0,2494,8.0
173,10,11.0,2503,9.0
174,10,11.0,2514,11.0
175,10,11.0,2524,10.0
176,10,11.0,2534,10.0
177,10,11.0,2546,12.0
178,10,11.0,2556,10.0
179,10,10.9,2565,9.0
180,10,10.8,2574,9.0
181,10,10.8,2585,11.0
182,10,10.8,2596,11.0
183,10,10.6,2605,9.0
184,10,10.5,2615,10.0
185,10,10.4,2625,10.0
186,10,10.3,2633,8.0
187,10,10.4,2644,11.0
188,10,10.4,2655,11.0
189,10,10.4,2664,9.0
190,10,10.4,2674,10.0
191,10,10.4,2684,10.0
192,10,10.3,2692,8.0
193,10,10.3,2702,10.0
194,10,10.3,2710,8.0
195,10,10.3,2720,10.0
196,10,10.3,2729,9.0
197,10,10.3,2739,10.0
198,10,10.3,2747,8.0
199,10,10.3,2757,10.0
200,10,10.3,2765,8.0
201,10,10.2,2775,10.0
202,10,10.2,2785,10.0
203,10,10.2,2796,11.0
204,10,10.2,2807,11.0
205,10,10.2,2818,11.0
206,10,10.2,2827,9.0
207,10,10.2,2836,9.0
208,10,10.2,2845,9.0
209,10,10.2,2858,13.0
210,10,10.2,2866,8.0
211,10,10.2,2877,11.0
212,10,10.2,2886,9.0
213,10,10.2,2896,10.0
214,10,10.2,2904,8.0
215,10,10.1,2913,9.0
216,10,10.1,2923,10.0
217,10,10.1,2933,10.0
218,10,10.1,2944,11.0
219,10,10.1,2956,12.0
220,10,10.1,2966,10.0
221,10,10.2,2976,10.0
222,10,10.2,2986,10.0
223,10,10.1,2995,9.0
224,10,10.1,3006,11.0
225,10,10.2,3016,10.0
