steps,mean 100 episode reward,% time spent exploring,episodes,reward
18,0.0,91,2,0.004
37,0.0,82,3,0.005
56,0.0,73,4,0.001
75,0.0,64,5,0.007
94,0.8,55,6,4.0
113,1.3,46,7,4.0
132,2.1,37,8,7.0009999999999994
151,2.9,28,9,8.001
170,3.4,19,10,8.0
189,4.3,10,11,12.0
208,4.8,9,12,10.001
227,5.3,9,13,10.0
246,5.2,9,14,5.0
265,5.6,9,15,11.0
284,6.0,9,16,11.0
303,6.3,9,17,11.0
322,6.6,9,18,11.0
341,6.9,9,19,12.0
360,7.2,9,20,12.0
379,7.2,9,21,8.0
398,7.4,9,22,12.0
417,7.5,9,23,9.0
436,7.5,9,24,7.0
455,7.7,9,25,12.0
474,7.8,9,26,12.0
493,8.0,9,27,12.0
512,8.0,9,28,8.001
531,8.1,9,29,12.0
550,8.2,9,30,11.0
569,8.0,9,31,2.001
588,8.1,9,32,10.0
607,8.2,9,33,10.001
626,8.3,9,34,12.0
645,8.4,9,35,11.0
664,8.4,9,36,10.0
683,8.3,9,37,4.002
702,8.4,9,38,12.0
721,8.4,9,39,8.0
740,8.5,9,40,12.0
759,8.6,9,41,12.0
778,8.6,9,42,11.0
797,8.6,9,43,10.0
816,8.6,9,44,8.0
835,8.6,9,45,6.0
854,8.6,9,46,12.0
873,8.7,9,47,11.0
892,8.7,9,48,10.001
911,8.8,9,49,11.0
930,8.8,9,50,9.0
949,8.8,9,51,11.0
968,8.8,9,52,8.0
987,8.9,9,53,12.0
1006,8.9,9,54,10.0
1025,8.9,9,55,8.0
1044,8.7,9,56,0.001
1063,8.6,9,57,0.013000000000000005
1082,8.4,9,58,0.012000000000000004
1101,8.3,9,59,0.008
1120,8.1,9,60,0.001
1139,8.0,9,61,0.001
1158,8.0,9,62,10.0
1177,7.9,9,63,0.0
1196,7.8,9,64,0.0
1215,7.8,9,65,12.0
1234,7.8,9,66,9.0
1253,7.8,9,67,8.001
1272,7.9,9,68,9.001999999999999
1291,7.9,9,69,11.0
1310,7.9,9,70,9.0
1329,8.0,9,71,11.0
1348,7.9,9,72,0.006
1367,7.9,9,73,12.0
1386,7.8,9,74,0.0
1405,7.7,9,75,0.001
1424,7.6,9,76,0.010000000000000002
1443,7.5,9,77,0.001
1462,7.4,9,78,0.0
1481,7.3,9,79,0.0
1500,7.2,9,80,0.004
1519,7.2,9,81,6.0
1538,7.1,9,82,0.014000000000000005
1557,7.1,9,83,4.006
1576,7.1,9,84,12.0
1595,7.1,9,85,6.0
1614,7.2,9,86,10.0
1633,7.2,9,87,12.0
1652,7.1,9,88,0.0
1671,7.0,9,89,0.0
1690,7.1,9,90,10.0
1709,7.0,9,91,0.0
1728,6.9,9,92,0.001
1747,6.8,9,93,0.003
1766,6.9,9,94,8.0
1785,6.8,9,95,0.001
1804,6.8,9,96,11.0
1823,6.8,9,97,0.005
1842,6.7,9,98,0.006
1861,6.7,9,99,8.0
1880,6.6,9,100,0.007
1899,6.7,9,101,10.0
