episodes,reward,mean 100 episode reward,% time spent exploring,steps
2,0.025000000000000015,0.0,99,108
3,0.004,0.0,99,217
4,0.04100000000000003,0.0,98,326
5,0.006,0.0,98,435
6,0.011000000000000003,0.0,97,544
7,0.01800000000000001,0.0,97,653
8,0.022000000000000013,0.0,96,762
9,0.015000000000000006,0.0,96,871
10,0.025000000000000015,0.0,95,980
11,0.0,0.0,95,1089
12,0.002,0.0,95,1198
13,0.011000000000000003,0.0,94,1307
14,0.02000000000000001,0.0,94,1416
15,0.024000000000000014,0.0,93,1525
16,0.023000000000000013,0.0,93,1634
17,0.01800000000000001,0.0,92,1743
18,0.017000000000000008,0.0,92,1852
19,0.003,0.0,91,1961
20,0.0,0.0,91,2070
21,0.022000000000000013,0.0,90,2179
22,0.03000000000000002,0.0,90,2288
23,0.03200000000000002,0.0,90,2397
24,0.035000000000000024,0.0,89,2506
25,0.02000000000000001,0.0,89,2615
26,0.0,0.0,88,2724
27,0.036000000000000025,0.0,88,2833
28,0.02100000000000001,0.0,87,2942
29,0.016000000000000007,0.0,87,3051
30,0.03300000000000002,0.0,86,3160
31,0.01900000000000001,0.0,86,3269
32,0.005,0.0,86,3378
33,0.01900000000000001,0.0,85,3487
34,0.03000000000000002,0.0,85,3596
35,0.016000000000000007,0.0,84,3705
36,0.01900000000000001,0.0,84,3814
37,0.017000000000000008,0.0,83,3923
38,0.047000000000000035,0.0,83,4032
39,0.024000000000000014,0.0,82,4141
40,0.015000000000000006,0.0,82,4250
41,0.03100000000000002,0.0,81,4359
42,0.027000000000000017,0.0,81,4468
43,0.03000000000000002,0.0,81,4577
44,0.035000000000000024,0.0,80,4686
45,0.03900000000000003,0.0,80,4795
46,0.03200000000000002,0.0,79,4904
47,0.04300000000000003,0.0,79,5013
48,0.0,0.0,78,5122
49,0.007,0.0,78,5231
50,0.014000000000000005,0.0,77,5340
51,0.025000000000000015,0.0,77,5449
52,0.002,0.0,77,5558
53,0.016000000000000007,0.0,76,5667
54,0.006,0.0,76,5776
55,0.001,0.0,75,5885
56,0.006,0.0,75,5994
57,0.009000000000000001,0.0,74,6103
58,0.022000000000000013,0.0,74,6212
59,0.05300000000000004,0.0,73,6321
60,0.04000000000000003,0.0,73,6430
61,0.002,0.0,72,6539
62,0.028000000000000018,0.0,72,6648
63,0.023000000000000013,0.0,72,6757
64,0.016000000000000007,0.0,71,6866
65,0.04400000000000003,0.0,71,6975
66,0.002,0.0,70,7084
67,0.026000000000000016,0.0,70,7193
68,0.03000000000000002,0.0,69,7302
69,0.04300000000000003,0.0,69,7411
70,0.02900000000000002,0.0,68,7520
71,0.003,0.0,68,7629
72,0.037000000000000026,0.0,68,7738
73,0.003,0.0,67,7847
74,0.04000000000000003,0.0,67,7956
75,0.005,0.0,66,8065
76,0.0,0.0,66,8174
77,0.006,0.0,65,8283
78,0.008,0.0,65,8392
79,0.002,0.0,64,8501
80,0.024000000000000014,0.0,64,8610
81,0.005,0.0,63,8719
82,0.001,0.0,63,8828
83,0.01800000000000001,0.0,63,8937
84,0.011000000000000003,0.0,62,9046
85,0.001,0.0,62,9155
86,0.006,0.0,61,9264
87,0.028000000000000018,0.0,61,9373
88,0.0,0.0,60,9482
89,0.004,0.0,60,9591
90,0.0,0.0,59,9700
91,0.002,0.0,59,9809
92,0.0,0.0,59,9918
93,0.003,0.0,58,10027
94,0.003,0.0,58,10136
95,0.0,0.0,57,10245
96,0.0,0.0,57,10354
97,0.002,0.0,56,10463
98,0.0,0.0,56,10572
99,0.0,0.0,55,10681
100,0.004,0.0,55,10790
101,0.017000000000000008,0.0,54,10899
102,0.0,0.0,54,11008
103,0.002,0.0,54,11117
104,0.002,0.0,53,11226
105,0.001,0.0,53,11335
106,0.0,0.0,52,11444
107,0.0,0.0,52,11553
108,0.0,0.0,51,11662
109,0.0,0.0,51,11771
110,0.0,0.0,50,11880
111,0.001,0.0,50,11989
112,0.0,0.0,50,12098
113,0.0,0.0,49,12207
114,0.0,0.0,49,12316
115,0.005,0.0,48,12425
116,0.0,0.0,48,12534
117,0.001,0.0,47,12643
118,0.0,0.0,47,12752
119,0.003,0.0,46,12861
120,0.003,0.0,46,12970
121,0.0,0.0,45,13079
122,0.0,0.0,45,13188
123,0.001,0.0,45,13297
124,0.008,0.0,44,13406
125,0.007,0.0,44,13515
126,0.005,0.0,43,13624
127,0.002,0.0,43,13733
128,0.0,0.0,42,13842
129,0.0,0.0,42,13951
130,0.0,0.0,41,14060
131,0.009000000000000001,0.0,41,14169
132,0.015000000000000006,0.0,41,14278
133,0.003,0.0,40,14387
134,0.026000000000000016,0.0,40,14496
135,0.05200000000000004,0.0,39,14605
136,0.037000000000000026,0.0,39,14714
137,0.06300000000000004,0.0,38,14823
138,0.035000000000000024,0.0,38,14932
139,0.01800000000000001,0.0,37,15041
140,0.002,0.0,37,15150
