reward,% time spent exploring,mean 100 episode reward,steps,episodes
0.004,95,0.0,18,2
0.005,91,0.0,37,3
0.003,86,0.0,56,4
0.007,82,0.0,75,5
2.0,77,0.4,94,6
0.0,73,0.3,113,7
6.0009999999999994,68,1.1,132,8
7.0009999999999994,64,1.9,151,9
3.0,59,2.0,170,10
3.0,55,2.1,189,11
6.0009999999999994,50,2.5,208,12
0.002,45,2.3,227,13
0.0,41,2.1,246,14
10.0,36,2.6,265,15
4.0,32,2.7,284,16
6.0,27,2.9,303,17
7.0,23,3.2,322,18
12.0,18,3.7,341,19
12.0,14,4.1,360,20
8.0,9,4.3,379,21
12.0,9,4.7,398,22
9.0,9,4.9,417,23
7.0,9,5.0,436,24
12.0,9,5.3,455,25
12.0,9,5.5,474,26
12.0,9,5.8,493,27
8.001,9,5.9,512,28
12.0,9,6.1,531,29
11.0,9,6.2,550,30
2.001,9,6.1,569,31
10.0,9,6.2,588,32
10.001,9,6.3,607,33
12.0,9,6.5,626,34
11.0,9,6.6,645,35
10.0,9,6.7,664,36
4.002,9,6.7,683,37
12.0,9,6.8,702,38
8.0,9,6.8,721,39
12.0,9,7.0,740,40
12.0,9,7.1,759,41
11.0,9,7.2,778,42
10.0,9,7.3,797,43
8.0,9,7.3,816,44
6.0,9,7.3,835,45
12.0,9,7.4,854,46
11.0,9,7.4,873,47
10.001,9,7.5,892,48
11.0,9,7.6,911,49
9.0,9,7.6,930,50
11.0,9,7.7,949,51
8.0,9,7.7,968,52
12.0,9,7.8,987,53
10.0,9,7.8,1006,54
8.0,9,7.8,1025,55
0.001,9,7.7,1044,56
0.0,9,7.5,1063,57
0.001,9,7.4,1082,58
0.006,9,7.3,1101,59
9.0,9,7.3,1120,60
10.001,9,7.3,1139,61
12.0,9,7.4,1158,62
12.0,9,7.5,1177,63
12.0,9,7.6,1196,64
6.0,9,7.5,1215,65
9.0,9,7.6,1234,66
0.001,9,7.4,1253,67
7.002,9,7.4,1272,68
11.0,9,7.5,1291,69
0.011000000000000003,9,7.4,1310,70
4.003,9,7.3,1329,71
0.0,9,7.2,1348,72
0.004,9,7.1,1367,73
0.012000000000000004,9,7.0,1386,74
10.001,9,7.1,1405,75
11.0,9,7.1,1424,76
12.0,9,7.2,1443,77
12.0,9,7.2,1462,78
12.0,9,7.3,1481,79
0.0,9,7.2,1500,80
6.0,9,7.2,1519,81
0.017000000000000008,9,7.1,1538,82
