% time spent exploring,episodes,head,steps,mean 100 episode reward,reward
99,2,2,58,0.0,0.009000000000000001
99,3,0,117,0.0,0.023000000000000013
98,4,0,176,0.0,0.009000000000000001
98,5,6,235,0.0,0.012000000000000004
97,6,2,294,0.0,0.01900000000000001
97,7,4,353,0.0,0.0
96,8,9,412,0.0,0.027000000000000017
96,9,3,471,0.0,0.028000000000000018
95,10,4,530,0.0,0.003
95,11,2,589,0.0,0.002
95,12,6,648,0.0,0.007
94,13,5,707,0.0,0.002
94,14,9,766,0.0,0.017000000000000008
93,15,4,825,0.0,0.03800000000000003
93,16,2,884,0.0,0.009000000000000001
92,17,0,943,0.0,0.01900000000000001
92,18,3,1002,0.0,0.005
91,19,5,1061,0.0,0.010000000000000002
91,20,3,1120,0.0,0.011000000000000003
91,21,6,1179,0.0,0.010000000000000002
90,22,5,1238,0.0,0.023000000000000013
90,23,1,1297,0.0,0.008
89,24,2,1356,0.0,0.014000000000000005
89,25,8,1415,0.0,0.004
88,26,8,1474,0.0,0.02000000000000001
88,27,6,1533,0.0,0.005
87,28,2,1592,0.0,0.011000000000000003
87,29,4,1651,0.0,0.003
86,30,5,1710,0.0,0.007
86,31,7,1769,0.0,0.016000000000000007
86,32,3,1828,0.0,0.002
85,33,5,1887,0.0,0.008
85,34,8,1946,0.0,0.006
84,35,3,2005,0.0,0.001
84,36,8,2064,0.0,0.001
83,37,5,2123,0.0,0.013000000000000005
83,38,1,2182,0.0,0.001
82,39,8,2241,0.0,0.0
82,40,1,2300,0.0,0.0
81,41,7,2359,0.0,0.003
81,42,7,2418,0.0,0.005
81,43,5,2477,0.0,0.017000000000000008
80,44,6,2536,0.0,0.014000000000000005
80,45,3,2595,0.0,0.02100000000000001
79,46,3,2654,0.0,0.02000000000000001
79,47,6,2713,0.0,0.014000000000000005
78,48,6,2772,0.0,0.02900000000000002
78,49,3,2831,0.0,0.010000000000000002
77,50,0,2890,0.0,0.004
77,51,7,2949,0.0,0.013000000000000005
77,52,8,3008,0.0,0.006
76,53,6,3067,0.0,0.0
76,54,4,3126,0.0,0.02000000000000001
75,55,3,3185,0.0,0.015000000000000006
75,56,5,3244,0.0,0.003
74,57,0,3303,0.0,0.0
74,58,5,3362,0.0,0.007
73,59,9,3421,0.0,0.0
73,60,9,3480,0.0,0.0
72,61,4,3539,0.0,0.0
72,62,3,3598,0.0,0.005
72,63,2,3657,0.0,0.0
71,64,1,3716,0.0,0.0
71,65,8,3775,0.0,0.003
70,66,5,3834,0.0,0.014000000000000005
70,67,5,3893,0.0,0.005
69,68,9,3952,0.0,0.009000000000000001
69,69,1,4011,0.0,0.010000000000000002
68,70,1,4070,0.0,0.0
68,71,0,4129,0.0,0.002
68,72,7,4188,0.0,0.012000000000000004
67,73,4,4247,0.0,0.0
67,74,5,4306,0.0,0.015000000000000006
66,75,9,4365,0.0,0.001
66,76,4,4424,0.0,0.0
65,77,3,4483,0.0,0.015000000000000006
65,78,6,4542,0.0,0.028000000000000018
64,79,1,4601,0.0,0.003
64,80,3,4660,0.0,0.035000000000000024
63,81,9,4719,0.0,0.0
63,82,2,4778,0.0,0.01800000000000001
63,83,1,4837,0.0,0.001
62,84,7,4896,0.0,0.006
62,85,3,4955,0.0,0.004
61,86,4,5014,0.0,0.0
61,87,0,5073,0.0,0.011000000000000003
60,88,4,5132,0.0,0.0
60,89,4,5191,0.0,0.0
59,90,6,5250,0.0,0.016000000000000007
59,91,8,5309,0.0,0.004
59,92,3,5368,0.0,0.012000000000000004
58,93,3,5427,0.0,0.012000000000000004
58,94,9,5486,0.0,0.0
57,95,0,5545,0.0,0.008
57,96,4,5604,0.0,0.002
56,97,9,5663,0.0,0.003
56,98,9,5722,0.0,0.002
55,99,2,5781,0.0,0.003
55,100,0,5840,0.0,0.0
54,101,2,5899,0.0,0.004
54,102,2,5958,0.0,0.0
54,103,9,6017,0.0,0.014000000000000005
53,104,7,6076,0.0,0.006
53,105,8,6135,0.0,0.011000000000000003
52,106,6,6194,0.0,0.0
52,107,1,6253,0.0,0.0
51,108,7,6312,0.0,0.003
51,109,9,6371,0.0,0.002
50,110,8,6430,0.0,0.017000000000000008
50,111,8,6489,0.0,0.002
50,112,9,6548,0.0,0.0
49,113,0,6607,0.0,0.010000000000000002
49,114,3,6666,0.0,0.03400000000000002
48,115,4,6725,0.0,0.0
48,116,7,6784,0.0,0.006
47,117,8,6843,0.0,0.006
47,118,1,6902,0.0,0.0
46,119,6,6961,0.0,0.0
46,120,8,7020,0.0,0.003
45,121,4,7079,0.0,0.001
45,122,1,7138,0.0,0.003
45,123,0,7197,0.0,0.004
44,124,0,7256,0.0,0.004
44,125,7,7315,0.0,0.003
43,126,7,7374,0.0,0.003
43,127,9,7433,0.0,0.002
42,128,6,7492,0.0,0.0
42,129,1,7551,0.0,0.0
41,130,2,7610,0.0,0.0
41,131,8,7669,0.0,0.0
41,132,6,7728,0.0,0.0
40,133,6,7787,0.0,0.0
40,134,5,7846,0.0,0.02100000000000001
39,135,2,7905,0.0,0.0
39,136,1,7964,0.0,0.009000000000000001
38,137,5,8023,0.0,0.028000000000000018
38,138,6,8082,0.0,0.001
37,139,8,8141,0.0,0.0
37,140,4,8200,0.0,0.0
36,141,5,8259,0.0,0.04000000000000003
36,142,6,8318,0.0,0.0
36,143,6,8377,0.0,0.0
35,144,8,8436,0.0,0.011000000000000003
35,145,1,8495,0.0,0.012000000000000004
34,146,3,8554,0.0,0.02100000000000001
34,147,0,8613,0.0,0.02900000000000002
33,148,8,8672,0.0,0.0
33,149,2,8731,0.0,0.0
32,150,3,8790,0.0,0.0
32,151,3,8849,0.0,0.017000000000000008
32,152,9,8908,0.0,0.001
31,153,0,8967,0.0,0.010000000000000002
31,154,1,9026,0.0,0.001
30,155,8,9085,0.0,0.0
30,156,0,9144,0.0,0.010000000000000002
29,157,5,9203,0.0,0.03200000000000002
29,158,0,9262,0.0,0.009000000000000001
28,159,5,9321,0.0,0.02900000000000002
28,160,4,9380,0.0,0.0
27,161,8,9439,0.0,0.008
27,162,0,9498,0.0,0.01900000000000001
27,163,6,9557,0.0,0.0
26,164,1,9616,0.0,0.005
26,165,9,9675,0.0,0.0
25,166,4,9734,0.0,0.0
25,167,1,9793,0.0,0.025000000000000015
24,168,7,9852,0.0,0.0
24,169,1,9911,0.0,0.03300000000000002
23,170,8,9970,0.0,0.0
23,171,9,10029,0.0,0.001
23,172,8,10088,0.0,0.0
22,173,8,10147,0.0,0.001
22,174,1,10206,0.0,0.009000000000000001
21,175,6,10265,0.0,0.0
21,176,8,10324,0.0,0.0
20,177,6,10383,0.0,0.0
20,178,6,10442,0.0,0.0
19,179,8,10501,0.0,0.0
19,180,6,10560,0.0,0.01800000000000001
18,181,8,10619,0.0,0.0
18,182,0,10678,0.0,0.003
18,183,2,10737,0.0,0.006
17,184,8,10796,0.0,0.001
17,185,7,10855,0.0,0.002
16,186,5,10914,0.0,0.03100000000000002
16,187,4,10973,0.0,0.0
15,188,5,11032,0.0,0.036000000000000025
15,189,2,11091,0.0,0.0
14,190,1,11150,0.0,0.016000000000000007
14,191,1,11209,0.0,0.005
14,192,2,11268,0.0,0.0
13,193,9,11327,0.0,0.0
13,194,6,11386,0.0,0.0
12,195,5,11445,0.0,0.04300000000000003
12,196,4,11504,0.0,0.0
11,197,6,11563,0.0,0.0
11,198,4,11622,0.0,0.009000000000000001
10,199,8,11681,0.0,0.0
10,200,0,11740,0.0,0.001
9,201,4,11799,0.0,0.003
9,202,7,11858,0.0,0.026000000000000016
9,203,7,11917,0.0,0.03900000000000003
9,204,0,11976,0.0,0.02100000000000001
9,205,1,12035,0.0,0.006
9,206,2,12094,0.0,0.028000000000000018
9,207,4,12153,0.0,0.005
9,208,1,12212,0.0,0.003
9,209,6,12271,0.0,0.008
9,210,1,12330,0.0,0.02100000000000001
