steps,episodes,reward,% time spent exploring,mean 100 episode reward
199,2,-200.0,99,-200.0
399,3,-200.0,99,-200.0
599,4,-200.0,98,-200.0
799,5,-200.0,98,-200.0
999,6,-200.0,97,-200.0
1199,7,-200.0,97,-200.0
1399,8,-200.0,96,-200.0
1599,9,-200.0,96,-200.0
1799,10,-200.0,95,-200.0
1999,11,-200.0,95,-200.0
2199,12,-200.0,95,-200.0
2399,13,-200.0,94,-200.0
2599,14,-200.0,94,-200.0
2799,15,-200.0,93,-200.0
2999,16,-200.0,93,-200.0
3199,17,-200.0,92,-200.0
3399,18,-200.0,92,-200.0
3599,19,-200.0,91,-200.0
3799,20,-200.0,91,-200.0
3999,21,-200.0,91,-200.0
4199,22,-200.0,90,-200.0
4399,23,-200.0,90,-200.0
4599,24,-200.0,89,-200.0
4799,25,-200.0,89,-200.0
4999,26,-200.0,88,-200.0
5199,27,-200.0,88,-200.0
5399,28,-200.0,87,-200.0
5599,29,-200.0,87,-200.0
5799,30,-200.0,86,-200.0
5999,31,-200.0,86,-200.0
6199,32,-200.0,86,-200.0
6399,33,-200.0,85,-200.0
6599,34,-200.0,85,-200.0
6799,35,-200.0,84,-200.0
6999,36,-200.0,84,-200.0
7199,37,-200.0,83,-200.0
7399,38,-200.0,83,-200.0
7599,39,-200.0,82,-200.0
7799,40,-200.0,82,-200.0
7999,41,-200.0,82,-200.0
8199,42,-200.0,81,-200.0
8399,43,-200.0,81,-200.0
8599,44,-200.0,80,-200.0
8799,45,-200.0,80,-200.0
8999,46,-200.0,79,-200.0
9199,47,-200.0,79,-200.0
9399,48,-200.0,78,-200.0
9599,49,-200.0,78,-200.0
9799,50,-200.0,77,-200.0
9999,51,-200.0,77,-200.0
10199,52,-200.0,77,-200.0
10399,53,-200.0,76,-200.0
10599,54,-200.0,76,-200.0
10799,55,-200.0,75,-200.0
10999,56,-200.0,75,-200.0
11199,57,-200.0,74,-200.0
11399,58,-200.0,74,-200.0
11599,59,-200.0,73,-200.0
11799,60,-200.0,73,-200.0
11999,61,-200.0,73,-200.0
12199,62,-200.0,72,-200.0
12399,63,-200.0,72,-200.0
12599,64,-200.0,71,-200.0
12799,65,-200.0,71,-200.0
12999,66,-200.0,70,-200.0
13199,67,-200.0,70,-200.0
13399,68,-200.0,69,-200.0
13599,69,-200.0,69,-200.0
13799,70,-200.0,68,-200.0
13999,71,-200.0,68,-200.0
14199,72,-200.0,68,-200.0
14399,73,-200.0,67,-200.0
14599,74,-200.0,67,-200.0
14799,75,-200.0,66,-200.0
14999,76,-200.0,66,-200.0
15199,77,-200.0,65,-200.0
15399,78,-200.0,65,-200.0
15599,79,-200.0,64,-200.0
15799,80,-200.0,64,-200.0
15999,81,-200.0,64,-200.0
16199,82,-200.0,63,-200.0
16399,83,-200.0,63,-200.0
16599,84,-200.0,62,-200.0
16799,85,-200.0,62,-200.0
16999,86,-200.0,61,-200.0
17199,87,-200.0,61,-200.0
17399,88,-200.0,60,-200.0
17599,89,-200.0,60,-200.0
17799,90,-200.0,59,-200.0
17999,91,-200.0,59,-200.0
18199,92,-200.0,59,-200.0
18399,93,-200.0,58,-200.0
18599,94,-200.0,58,-200.0
18799,95,-200.0,57,-200.0
18999,96,-200.0,57,-200.0
19199,97,-200.0,56,-200.0
19399,98,-200.0,56,-200.0
19599,99,-200.0,55,-200.0
19799,100,-200.0,55,-200.0
19999,101,-200.0,55,-200.0
20199,102,-200.0,54,-200.0
20399,103,-200.0,54,-200.0
20599,104,-200.0,53,-200.0
20799,105,-200.0,53,-200.0
20999,106,-200.0,52,-200.0
21199,107,-200.0,52,-200.0
21399,108,-200.0,51,-200.0
21599,109,-200.0,51,-200.0
21799,110,-200.0,50,-200.0
21999,111,-200.0,50,-200.0
22199,112,-200.0,50,-200.0
22399,113,-200.0,49,-200.0
22599,114,-200.0,49,-200.0
22799,115,-200.0,48,-200.0
22999,116,-200.0,48,-200.0
23199,117,-200.0,47,-200.0
23399,118,-200.0,47,-200.0
23599,119,-200.0,46,-200.0
23799,120,-200.0,46,-200.0
23999,121,-200.0,46,-200.0
24199,122,-200.0,45,-200.0
24399,123,-200.0,45,-200.0
24599,124,-200.0,44,-200.0
24799,125,-200.0,44,-200.0
24999,126,-200.0,43,-200.0
25199,127,-200.0,43,-200.0
25399,128,-200.0,42,-200.0
25599,129,-200.0,42,-200.0
25799,130,-200.0,41,-200.0
25999,131,-200.0,41,-200.0
26199,132,-200.0,41,-200.0
26399,133,-200.0,40,-200.0
26599,134,-200.0,40,-200.0
26799,135,-200.0,39,-200.0
26999,136,-200.0,39,-200.0
27199,137,-200.0,38,-200.0
27399,138,-200.0,38,-200.0
27599,139,-200.0,37,-200.0
27799,140,-200.0,37,-200.0
27999,141,-200.0,37,-200.0
28199,142,-200.0,36,-200.0
28399,143,-200.0,36,-200.0
28599,144,-200.0,35,-200.0
28799,145,-200.0,35,-200.0
28999,146,-200.0,34,-200.0
29199,147,-200.0,34,-200.0
29399,148,-200.0,33,-200.0
29599,149,-200.0,33,-200.0
29799,150,-200.0,32,-200.0
29999,151,-200.0,32,-200.0
30199,152,-200.0,32,-200.0
30399,153,-200.0,31,-200.0
30599,154,-200.0,31,-200.0
30799,155,-200.0,30,-200.0
30999,156,-200.0,30,-200.0
31199,157,-200.0,29,-200.0
31399,158,-200.0,29,-200.0
31599,159,-200.0,28,-200.0
31799,160,-200.0,28,-200.0
31999,161,-200.0,28,-200.0
32199,162,-200.0,27,-200.0
32399,163,-200.0,27,-200.0
32599,164,-200.0,26,-200.0
32799,165,-200.0,26,-200.0
32999,166,-200.0,25,-200.0
33199,167,-200.0,25,-200.0
33399,168,-200.0,24,-200.0
33599,169,-200.0,24,-200.0
33799,170,-200.0,23,-200.0
33999,171,-200.0,23,-200.0
34199,172,-200.0,23,-200.0
34399,173,-200.0,22,-200.0
34599,174,-200.0,22,-200.0
34799,175,-200.0,21,-200.0
34999,176,-200.0,21,-200.0
35199,177,-200.0,20,-200.0
35399,178,-200.0,20,-200.0
35599,179,-200.0,19,-200.0
35799,180,-200.0,19,-200.0
35999,181,-200.0,19,-200.0
36199,182,-200.0,18,-200.0
36399,183,-200.0,18,-200.0
36599,184,-200.0,17,-200.0
36799,185,-200.0,17,-200.0
36999,186,-200.0,16,-200.0
37199,187,-200.0,16,-200.0
37399,188,-200.0,15,-200.0
37599,189,-200.0,15,-200.0
37799,190,-200.0,14,-200.0
37999,191,-200.0,14,-200.0
38199,192,-200.0,14,-200.0
38399,193,-200.0,13,-200.0
38599,194,-200.0,13,-200.0
38799,195,-200.0,12,-200.0
38999,196,-200.0,12,-200.0
39199,197,-200.0,11,-200.0
39399,198,-200.0,11,-200.0
39599,199,-200.0,10,-200.0
39799,200,-200.0,10,-200.0
39999,201,-200.0,10,-200.0
40199,202,-200.0,9,-200.0
40399,203,-200.0,9,-200.0
40599,204,-200.0,9,-200.0
40799,205,-200.0,9,-200.0
40999,206,-200.0,9,-200.0
41199,207,-200.0,9,-200.0
41399,208,-200.0,9,-200.0
41599,209,-200.0,9,-200.0
41799,210,-200.0,9,-200.0
41999,211,-200.0,9,-200.0
42199,212,-200.0,9,-200.0
42399,213,-200.0,9,-200.0
42599,214,-200.0,9,-200.0
42799,215,-200.0,9,-200.0
42999,216,-200.0,9,-200.0
43199,217,-200.0,9,-200.0
43399,218,-200.0,9,-200.0
43599,219,-200.0,9,-200.0
43799,220,-200.0,9,-200.0
43999,221,-200.0,9,-200.0
44199,222,-200.0,9,-200.0
44399,223,-200.0,9,-200.0
44599,224,-200.0,9,-200.0
44799,225,-200.0,9,-200.0
44999,226,-200.0,9,-200.0
45199,227,-200.0,9,-200.0
45399,228,-200.0,9,-200.0
45599,229,-200.0,9,-200.0
45799,230,-200.0,9,-200.0
45999,231,-200.0,9,-200.0
46199,232,-200.0,9,-200.0
46399,233,-200.0,9,-200.0
46599,234,-200.0,9,-200.0
46799,235,-200.0,9,-200.0
46999,236,-200.0,9,-200.0
47199,237,-200.0,9,-200.0
47399,238,-200.0,9,-200.0
47599,239,-200.0,9,-200.0
47799,240,-200.0,9,-200.0
47999,241,-200.0,9,-200.0
48199,242,-200.0,9,-200.0
48399,243,-200.0,9,-200.0
48599,244,-200.0,9,-200.0
48799,245,-200.0,9,-200.0
48999,246,-200.0,9,-200.0
49199,247,-200.0,9,-200.0
49399,248,-200.0,9,-200.0
49599,249,-200.0,9,-200.0
49799,250,-200.0,9,-200.0
49999,251,-200.0,9,-200.0
50199,252,-200.0,9,-200.0
50399,253,-200.0,9,-200.0
50599,254,-200.0,9,-200.0
50799,255,-200.0,9,-200.0
50999,256,-200.0,9,-200.0
51199,257,-200.0,9,-200.0
51399,258,-200.0,9,-200.0
51599,259,-200.0,9,-200.0
51799,260,-200.0,9,-200.0
51999,261,-200.0,9,-200.0
52199,262,-200.0,9,-200.0
52399,263,-200.0,9,-200.0
52599,264,-200.0,9,-200.0
52799,265,-200.0,9,-200.0
52999,266,-200.0,9,-200.0
53199,267,-200.0,9,-200.0
53399,268,-200.0,9,-200.0
53599,269,-200.0,9,-200.0
53799,270,-200.0,9,-200.0
53999,271,-200.0,9,-200.0
54199,272,-200.0,9,-200.0
54399,273,-200.0,9,-200.0
54599,274,-200.0,9,-200.0
54799,275,-200.0,9,-200.0
54999,276,-200.0,9,-200.0
55199,277,-200.0,9,-200.0
