steps,mean 100 episode reward,% time spent exploring,reward,head,episodes
199,-200.0,98,-200.0,5,2
399,-200.0,96,-200.0,0,3
599,-200.0,94,-200.0,3,4
799,-200.0,92,-200.0,3,5
999,-200.0,91,-200.0,7,6
1199,-200.0,89,-200.0,9,7
1399,-200.0,87,-200.0,3,8
1599,-200.0,85,-200.0,5,9
1799,-200.0,83,-200.0,2,10
1999,-200.0,82,-200.0,4,11
2199,-200.0,80,-200.0,7,12
2399,-200.0,78,-200.0,6,13
2599,-200.0,76,-200.0,8,14
2799,-200.0,74,-200.0,8,15
2999,-200.0,73,-200.0,1,16
3199,-200.0,71,-200.0,6,17
3399,-200.0,69,-200.0,7,18
3599,-200.0,67,-200.0,7,19
3799,-200.0,65,-200.0,8,20
3999,-200.0,64,-200.0,1,21
4199,-200.0,62,-200.0,5,22
4399,-200.0,60,-200.0,9,23
4599,-200.0,58,-200.0,8,24
4799,-200.0,56,-200.0,9,25
4999,-200.0,55,-200.0,4,26
5199,-200.0,53,-200.0,3,27
5399,-200.0,51,-200.0,0,28
5599,-200.0,49,-200.0,3,29
5799,-200.0,47,-200.0,5,30
5999,-200.0,46,-200.0,0,31
6199,-200.0,44,-200.0,2,32
6399,-200.0,42,-200.0,3,33
6599,-200.0,40,-200.0,8,34
6799,-200.0,38,-200.0,1,35
6999,-200.0,37,-200.0,3,36
7199,-200.0,35,-200.0,3,37
7399,-200.0,33,-200.0,3,38
7599,-200.0,31,-200.0,7,39
7799,-200.0,29,-200.0,0,40
7999,-200.0,28,-200.0,1,41
8199,-200.0,26,-200.0,9,42
8399,-200.0,24,-200.0,9,43
8599,-200.0,22,-200.0,0,44
8799,-200.0,20,-200.0,4,45
8999,-200.0,19,-200.0,7,46
9199,-200.0,17,-200.0,3,47
9399,-200.0,15,-200.0,2,48
9599,-200.0,13,-200.0,7,49
9799,-200.0,11,-200.0,2,50
9999,-200.0,10,-200.0,0,51
10199,-200.0,9,-200.0,0,52
10399,-200.0,9,-200.0,4,53
10599,-200.0,9,-200.0,5,54
10799,-200.0,9,-200.0,5,55
10999,-200.0,9,-200.0,6,56
11199,-200.0,9,-200.0,8,57
11399,-200.0,9,-200.0,4,58
11599,-200.0,9,-200.0,1,59
11799,-200.0,9,-200.0,4,60
11999,-200.0,9,-200.0,9,61
12199,-200.0,9,-200.0,8,62
12399,-200.0,9,-200.0,1,63
12599,-200.0,9,-200.0,1,64
12799,-200.0,9,-200.0,7,65
12999,-200.0,9,-200.0,9,66
13199,-200.0,9,-200.0,9,67
13399,-200.0,9,-200.0,3,68
13599,-200.0,9,-200.0,6,69
13799,-200.0,9,-200.0,7,70
13999,-200.0,9,-200.0,2,71
14199,-200.0,9,-200.0,0,72
14399,-200.0,9,-200.0,3,73
14599,-200.0,9,-200.0,5,74
14799,-200.0,9,-200.0,9,75
14999,-200.0,9,-200.0,4,76
15199,-200.0,9,-200.0,4,77
15399,-200.0,9,-200.0,6,78
15599,-200.0,9,-200.0,4,79
15799,-200.0,9,-200.0,4,80
15999,-200.0,9,-200.0,3,81
16199,-200.0,9,-200.0,4,82
16399,-200.0,9,-200.0,4,83
16599,-200.0,9,-200.0,8,84
16799,-200.0,9,-200.0,4,85
16999,-200.0,9,-200.0,3,86
17199,-200.0,9,-200.0,7,87
17399,-200.0,9,-200.0,5,88
17599,-200.0,9,-200.0,5,89
17799,-200.0,9,-200.0,0,90
17999,-200.0,9,-200.0,1,91
18199,-200.0,9,-200.0,5,92
18399,-200.0,9,-200.0,9,93
18599,-200.0,9,-200.0,3,94
18799,-200.0,9,-200.0,0,95
18999,-200.0,9,-200.0,5,96
19199,-200.0,9,-200.0,0,97
19399,-200.0,9,-200.0,1,98
19599,-200.0,9,-200.0,2,99
19799,-200.0,9,-200.0,4,100
19999,-200.0,9,-200.0,2,101
20199,-200.0,9,-200.0,0,102
20399,-200.0,9,-200.0,3,103
20599,-200.0,9,-200.0,2,104
20799,-200.0,9,-200.0,0,105
20999,-200.0,9,-200.0,7,106
21199,-200.0,9,-200.0,5,107
21399,-200.0,9,-200.0,9,108
21599,-200.0,9,-200.0,0,109
21799,-200.0,9,-200.0,2,110
21999,-200.0,9,-200.0,7,111
22199,-200.0,9,-200.0,2,112
22399,-200.0,9,-200.0,9,113
22599,-200.0,9,-200.0,2,114
22799,-200.0,9,-200.0,3,115
22999,-200.0,9,-200.0,3,116
23199,-200.0,9,-200.0,2,117
23399,-200.0,9,-200.0,3,118
23599,-200.0,9,-200.0,4,119
23799,-200.0,9,-200.0,1,120
23999,-200.0,9,-200.0,2,121
24199,-200.0,9,-200.0,9,122
24399,-200.0,9,-200.0,1,123
24599,-200.0,9,-200.0,4,124
24799,-200.0,9,-200.0,6,125
24999,-200.0,9,-200.0,8,126
25199,-200.0,9,-200.0,2,127
25399,-200.0,9,-200.0,3,128
25599,-200.0,9,-200.0,0,129
25799,-200.0,9,-200.0,0,130
25999,-200.0,9,-200.0,6,131
26199,-200.0,9,-200.0,0,132
26399,-200.0,9,-200.0,6,133
26599,-200.0,9,-200.0,3,134
26799,-200.0,9,-200.0,3,135
26999,-200.0,9,-200.0,8,136
27199,-200.0,9,-200.0,8,137
27399,-200.0,9,-200.0,8,138
27599,-200.0,9,-200.0,2,139
27799,-200.0,9,-200.0,3,140
27999,-200.0,9,-200.0,2,141
28199,-200.0,9,-200.0,0,142
28399,-200.0,9,-200.0,8,143
28599,-200.0,9,-200.0,8,144
