reward,steps,episodes,mean 100 episode reward
-200.0,199,2,-200.0
-200.0,399,3,-200.0
-200.0,599,4,-200.0
-200.0,799,5,-200.0
-200.0,999,6,-200.0
-200.0,1199,7,-200.0
-200.0,1399,8,-200.0
-200.0,1599,9,-200.0
-200.0,1799,10,-200.0
-200.0,1999,11,-200.0
-200.0,2199,12,-200.0
-200.0,2399,13,-200.0
-200.0,2599,14,-200.0
-200.0,2799,15,-200.0
-200.0,2999,16,-200.0
-200.0,3199,17,-200.0
-200.0,3399,18,-200.0
-200.0,3599,19,-200.0
-200.0,3799,20,-200.0
-200.0,3999,21,-200.0
-200.0,4199,22,-200.0
-200.0,4399,23,-200.0
-200.0,4599,24,-200.0
-200.0,4799,25,-200.0
-200.0,4999,26,-200.0
-200.0,5199,27,-200.0
-200.0,5399,28,-200.0
-200.0,5599,29,-200.0
-200.0,5799,30,-200.0
-200.0,5999,31,-200.0
-200.0,6199,32,-200.0
-200.0,6399,33,-200.0
-200.0,6599,34,-200.0
-200.0,6799,35,-200.0
-200.0,6999,36,-200.0
-200.0,7199,37,-200.0
-200.0,7399,38,-200.0
-200.0,7599,39,-200.0
-200.0,7799,40,-200.0
-200.0,7999,41,-200.0
-200.0,8199,42,-200.0
-200.0,8399,43,-200.0
-200.0,8599,44,-200.0
-200.0,8799,45,-200.0
-200.0,8999,46,-200.0
-200.0,9199,47,-200.0
-200.0,9399,48,-200.0
-200.0,9599,49,-200.0
-200.0,9799,50,-200.0
-200.0,9999,51,-200.0
-200.0,10199,52,-200.0
-200.0,10399,53,-200.0
-200.0,10599,54,-200.0
-200.0,10799,55,-200.0
-200.0,10999,56,-200.0
-200.0,11199,57,-200.0
-200.0,11399,58,-200.0
-200.0,11599,59,-200.0
-200.0,11799,60,-200.0
-200.0,11999,61,-200.0
-200.0,12199,62,-200.0
-200.0,12399,63,-200.0
-200.0,12599,64,-200.0
-200.0,12799,65,-200.0
-200.0,12999,66,-200.0
-200.0,13199,67,-200.0
-200.0,13399,68,-200.0
-200.0,13599,69,-200.0
-200.0,13799,70,-200.0
-200.0,13999,71,-200.0
-200.0,14199,72,-200.0
-200.0,14399,73,-200.0
-200.0,14599,74,-200.0
-200.0,14799,75,-200.0
-200.0,14999,76,-200.0
-200.0,15199,77,-200.0
-200.0,15399,78,-200.0
-200.0,15599,79,-200.0
-200.0,15799,80,-200.0
-200.0,15999,81,-200.0
-200.0,16199,82,-200.0
-200.0,16399,83,-200.0
-200.0,16599,84,-200.0
-200.0,16799,85,-200.0
-200.0,16999,86,-200.0
-200.0,17199,87,-200.0
