reward,episodes,mean 100 episode reward,% time spent exploring,steps
-200.0,2,-200.0,10,199
-200.0,3,-200.0,10,399
-200.0,4,-200.0,10,599
-200.0,5,-200.0,10,799
-200.0,6,-200.0,10,999
-200.0,7,-200.0,10,1199
-200.0,8,-200.0,10,1399
-200.0,9,-200.0,10,1599
-200.0,10,-200.0,10,1799
-200.0,11,-200.0,10,1999
-200.0,12,-200.0,10,2199
-200.0,13,-200.0,10,2399
-200.0,14,-200.0,10,2599
-200.0,15,-200.0,10,2799
-200.0,16,-200.0,10,2999
-200.0,17,-200.0,10,3199
-200.0,18,-200.0,10,3399
-200.0,19,-200.0,10,3599
-200.0,20,-200.0,10,3799
-200.0,21,-200.0,10,3999
-200.0,22,-200.0,10,4199
-200.0,23,-200.0,10,4399
-200.0,24,-200.0,10,4599
-200.0,25,-200.0,10,4799
-200.0,26,-200.0,10,4999
-200.0,27,-200.0,10,5199
-200.0,28,-200.0,10,5399
-200.0,29,-200.0,10,5599
-200.0,30,-200.0,10,5799
-200.0,31,-200.0,10,5999
-200.0,32,-200.0,10,6199
-200.0,33,-200.0,10,6399
-200.0,34,-200.0,10,6599
-200.0,35,-200.0,10,6799
-200.0,36,-200.0,10,6999
-200.0,37,-200.0,10,7199
-200.0,38,-200.0,10,7399
-200.0,39,-200.0,10,7599
-200.0,40,-200.0,10,7799
-200.0,41,-200.0,10,7999
-200.0,42,-200.0,10,8199
-200.0,43,-200.0,10,8399
-200.0,44,-200.0,10,8599
-200.0,45,-200.0,10,8799
-200.0,46,-200.0,10,8999
-200.0,47,-200.0,10,9199
-200.0,48,-200.0,10,9399
-200.0,49,-200.0,10,9599
-200.0,50,-200.0,10,9799
-200.0,51,-200.0,10,9999
-200.0,52,-200.0,10,10199
-200.0,53,-200.0,10,10399
-200.0,54,-200.0,10,10599
-200.0,55,-200.0,10,10799
-200.0,56,-200.0,10,10999
-200.0,57,-200.0,10,11199
-200.0,58,-200.0,10,11399
-200.0,59,-200.0,10,11599
-200.0,60,-200.0,10,11799
-200.0,61,-200.0,10,11999
-200.0,62,-200.0,10,12199
-200.0,63,-200.0,10,12399
-200.0,64,-200.0,10,12599
-200.0,65,-200.0,10,12799
-200.0,66,-200.0,10,12999
-200.0,67,-200.0,10,13199
-200.0,68,-200.0,10,13399
-200.0,69,-200.0,10,13599
-200.0,70,-200.0,10,13799
-200.0,71,-200.0,10,13999
-200.0,72,-200.0,10,14199
-200.0,73,-200.0,10,14399
-200.0,74,-200.0,10,14599
-200.0,75,-200.0,10,14799
-200.0,76,-200.0,10,14999
-200.0,77,-200.0,10,15199
-200.0,78,-200.0,10,15399
-200.0,79,-200.0,10,15599
-200.0,80,-200.0,10,15799
-200.0,81,-200.0,10,15999
-200.0,82,-200.0,10,16199
-200.0,83,-200.0,10,16399
-200.0,84,-200.0,10,16599
-200.0,85,-200.0,10,16799
-200.0,86,-200.0,10,16999
-200.0,87,-200.0,10,17199
-200.0,88,-200.0,10,17399
-200.0,89,-200.0,10,17599
-200.0,90,-200.0,10,17799
-200.0,91,-200.0,10,17999
-200.0,92,-200.0,10,18199
-200.0,93,-200.0,10,18399
-200.0,94,-200.0,10,18599
-200.0,95,-200.0,10,18799
-200.0,96,-200.0,10,18999
-200.0,97,-200.0,10,19199
-200.0,98,-200.0,10,19399
-200.0,99,-200.0,10,19599
-200.0,100,-200.0,10,19799
-200.0,101,-200.0,10,19999
-200.0,102,-200.0,10,20199
-200.0,103,-200.0,10,20399
-200.0,104,-200.0,10,20599
-200.0,105,-200.0,10,20799
-200.0,106,-200.0,10,20999
-200.0,107,-200.0,10,21199
-200.0,108,-200.0,10,21399
-200.0,109,-200.0,10,21599
-200.0,110,-200.0,10,21799
-200.0,111,-200.0,10,21999
-200.0,112,-200.0,10,22199
-200.0,113,-200.0,10,22399
-200.0,114,-200.0,10,22599
-200.0,115,-200.0,10,22799
