mean 100 episode reward,episodes,reward,steps
-200.0,2,-200.0,199
-200.0,3,-200.0,399
-200.0,4,-200.0,599
-200.0,5,-200.0,799
-200.0,6,-200.0,999
-200.0,7,-200.0,1199
-200.0,8,-200.0,1399
-200.0,9,-200.0,1599
-200.0,10,-200.0,1799
-200.0,11,-200.0,1999
-200.0,12,-200.0,2199
-200.0,13,-200.0,2399
-200.0,14,-200.0,2599
-200.0,15,-200.0,2799
-200.0,16,-200.0,2999
-200.0,17,-200.0,3199
-200.0,18,-200.0,3399
-200.0,19,-200.0,3599
-200.0,20,-200.0,3799
-200.0,21,-200.0,3999
-200.0,22,-200.0,4199
-200.0,23,-200.0,4399
-200.0,24,-200.0,4599
-200.0,25,-200.0,4799
-200.0,26,-200.0,4999
-200.0,27,-200.0,5199
-200.0,28,-200.0,5399
-200.0,29,-200.0,5599
-200.0,30,-200.0,5799
-200.0,31,-200.0,5999
-200.0,32,-200.0,6199
-200.0,33,-200.0,6399
-200.0,34,-200.0,6599
-200.0,35,-200.0,6799
-200.0,36,-200.0,6999
-200.0,37,-200.0,7199
-200.0,38,-200.0,7399
-200.0,39,-200.0,7599
-200.0,40,-200.0,7799
-200.0,41,-200.0,7999
-200.0,42,-200.0,8199
-200.0,43,-200.0,8399
-200.0,44,-200.0,8599
-200.0,45,-200.0,8799
-200.0,46,-200.0,8999
-200.0,47,-200.0,9199
-200.0,48,-200.0,9399
-200.0,49,-200.0,9599
-200.0,50,-200.0,9799
-200.0,51,-200.0,9999
-200.0,52,-200.0,10199
-200.0,53,-200.0,10399
-200.0,54,-200.0,10599
-200.0,55,-200.0,10799
-200.0,56,-200.0,10999
-200.0,57,-200.0,11199
-200.0,58,-200.0,11399
-200.0,59,-200.0,11599
-200.0,60,-200.0,11799
-200.0,61,-200.0,11999
-200.0,62,-200.0,12199
-200.0,63,-200.0,12399
-200.0,64,-200.0,12599
-200.0,65,-200.0,12799
-200.0,66,-200.0,12999
-200.0,67,-200.0,13199
-200.0,68,-200.0,13399
-200.0,69,-200.0,13599
-200.0,70,-200.0,13799
-200.0,71,-200.0,13999
-200.0,72,-200.0,14199
-200.0,73,-200.0,14399
-200.0,74,-200.0,14599
-200.0,75,-200.0,14799
-200.0,76,-200.0,14999
-200.0,77,-200.0,15199
-200.0,78,-200.0,15399
-200.0,79,-200.0,15599
-200.0,80,-200.0,15799
-200.0,81,-200.0,15999
-200.0,82,-200.0,16199
-200.0,83,-200.0,16399
-200.0,84,-200.0,16599
-200.0,85,-200.0,16799
-200.0,86,-200.0,16999
-200.0,87,-200.0,17199
-200.0,88,-200.0,17399
-200.0,89,-200.0,17599
-200.0,90,-200.0,17799
-200.0,91,-200.0,17999
-200.0,92,-200.0,18199
-200.0,93,-200.0,18399
-200.0,94,-200.0,18599
-200.0,95,-200.0,18799
-200.0,96,-200.0,18999
-200.0,97,-200.0,19199
-200.0,98,-200.0,19399
-200.0,99,-200.0,19599
-200.0,100,-200.0,19799
-200.0,101,-200.0,19999
-200.0,102,-200.0,20199
-200.0,103,-200.0,20399
-200.0,104,-200.0,20599
-200.0,105,-200.0,20799
-200.0,106,-200.0,20999
-200.0,107,-200.0,21199
-200.0,108,-200.0,21399
-200.0,109,-200.0,21599
-200.0,110,-200.0,21799
-200.0,111,-200.0,21999
-200.0,112,-200.0,22199
-200.0,113,-200.0,22399
-200.0,114,-200.0,22599
-200.0,115,-200.0,22799
-200.0,116,-200.0,22999
-200.0,117,-200.0,23199
-200.0,118,-200.0,23399
-200.0,119,-200.0,23599
-200.0,120,-200.0,23799
-200.0,121,-200.0,23999
-200.0,122,-200.0,24199
-200.0,123,-200.0,24399
-200.0,124,-200.0,24599
-200.0,125,-200.0,24799
-200.0,126,-200.0,24999
-200.0,127,-200.0,25199
-200.0,128,-200.0,25399
-200.0,129,-200.0,25599
-200.0,130,-200.0,25799
-200.0,131,-200.0,25999
-200.0,132,-200.0,26199
-200.0,133,-200.0,26399
-200.0,134,-200.0,26599
-200.0,135,-200.0,26799
-200.0,136,-200.0,26999
-200.0,137,-200.0,27199
-200.0,138,-200.0,27399
-200.0,139,-200.0,27599
-200.0,140,-200.0,27799
-200.0,141,-200.0,27999
-200.0,142,-200.0,28199
-200.0,143,-200.0,28399
-200.0,144,-200.0,28599
-200.0,145,-200.0,28799
-200.0,146,-200.0,28999
-200.0,147,-200.0,29199
-200.0,148,-200.0,29399
-200.0,149,-200.0,29599
-200.0,150,-200.0,29799
-200.0,151,-200.0,29999
-200.0,152,-200.0,30199
-200.0,153,-200.0,30399
-200.0,154,-200.0,30599
-200.0,155,-200.0,30799
-200.0,156,-200.0,30999
-200.0,157,-200.0,31199
-200.0,158,-200.0,31399
-200.0,159,-200.0,31599
-200.0,160,-200.0,31799
-200.0,161,-200.0,31999
-200.0,162,-200.0,32199
-200.0,163,-200.0,32399
-200.0,164,-200.0,32599
-200.0,165,-200.0,32799
-200.0,166,-200.0,32999
-200.0,167,-200.0,33199
-200.0,168,-200.0,33399
-200.0,169,-200.0,33599
-200.0,170,-200.0,33799
-200.0,171,-200.0,33999
-200.0,172,-200.0,34199
-200.0,173,-200.0,34399
-200.0,174,-200.0,34599
-200.0,175,-200.0,34799
-200.0,176,-200.0,34999
-200.0,177,-200.0,35199
-200.0,178,-200.0,35399
-200.0,179,-200.0,35599
-200.0,180,-200.0,35799
-200.0,181,-200.0,35999
-200.0,182,-200.0,36199
-200.0,183,-200.0,36399
-200.0,184,-200.0,36599
-200.0,185,-200.0,36799
-200.0,186,-200.0,36999
-200.0,187,-200.0,37199
-200.0,188,-200.0,37399
-200.0,189,-200.0,37599
-200.0,190,-200.0,37799
-200.0,191,-200.0,37999
-200.0,192,-200.0,38199
-200.0,193,-200.0,38399
-200.0,194,-200.0,38599
-200.0,195,-200.0,38799
-200.0,196,-200.0,38999
-200.0,197,-200.0,39199
-200.0,198,-200.0,39399
-200.0,199,-200.0,39599
-200.0,200,-200.0,39799
-200.0,201,-200.0,39999
-200.0,202,-200.0,40199
-200.0,203,-200.0,40399
-200.0,204,-200.0,40599
-200.0,205,-200.0,40799
-200.0,206,-200.0,40999
-200.0,207,-200.0,41199
-200.0,208,-200.0,41399
-200.0,209,-200.0,41599
-200.0,210,-200.0,41799
-200.0,211,-200.0,41999
-200.0,212,-200.0,42199
-200.0,213,-200.0,42399
-200.0,214,-200.0,42599
-200.0,215,-200.0,42799
-200.0,216,-200.0,42999
-200.0,217,-200.0,43199
-200.0,218,-200.0,43399
-200.0,219,-200.0,43599
-200.0,220,-200.0,43799
-200.0,221,-200.0,43999
-200.0,222,-200.0,44199
-200.0,223,-200.0,44399
-200.0,224,-200.0,44599
-200.0,225,-200.0,44799
-200.0,226,-200.0,44999
-200.0,227,-200.0,45199
-200.0,228,-200.0,45399
-200.0,229,-200.0,45599
-200.0,230,-200.0,45799
-200.0,231,-200.0,45999
-200.0,232,-200.0,46199
-200.0,233,-200.0,46399
-200.0,234,-200.0,46599
-200.0,235,-200.0,46799
-200.0,236,-200.0,46999
-200.0,237,-200.0,47199
-200.0,238,-200.0,47399
-200.0,239,-200.0,47599
-200.0,240,-200.0,47799
-200.0,241,-200.0,47999
-200.0,242,-200.0,48199
-200.0,243,-200.0,48399
-200.0,244,-200.0,48599
-200.0,245,-200.0,48799
-200.0,246,-200.0,48999
-200.0,247,-200.0,49199
-200.0,248,-200.0,49399
-200.0,249,-200.0,49599
-200.0,250,-200.0,49799
-200.0,251,-200.0,49999
-200.0,252,-200.0,50199
-200.0,253,-200.0,50399
-200.0,254,-200.0,50599
-200.0,255,-200.0,50799
-200.0,256,-200.0,50999
-200.0,257,-200.0,51199
-200.0,258,-200.0,51399
-200.0,259,-200.0,51599
-200.0,260,-200.0,51799
-200.0,261,-200.0,51999
-200.0,262,-200.0,52199
-200.0,263,-200.0,52399
-200.0,264,-200.0,52599
-200.0,265,-200.0,52799
-200.0,266,-200.0,52999
-200.0,267,-200.0,53199
-200.0,268,-200.0,53399
-200.0,269,-200.0,53599
-200.0,270,-200.0,53799
-200.0,271,-200.0,53999
-200.0,272,-200.0,54199
-200.0,273,-200.0,54399
-200.0,274,-200.0,54599
-200.0,275,-200.0,54799
-200.0,276,-200.0,54999
-200.0,277,-200.0,55199
-200.0,278,-200.0,55399
-200.0,279,-200.0,55599
-200.0,280,-200.0,55799
-200.0,281,-200.0,55999
-200.0,282,-200.0,56199
-200.0,283,-200.0,56399
-200.0,284,-200.0,56599
-200.0,285,-200.0,56799
-200.0,286,-200.0,56999
-200.0,287,-200.0,57199
-200.0,288,-200.0,57399
-200.0,289,-200.0,57599
-200.0,290,-200.0,57799
-200.0,291,-200.0,57999
-200.0,292,-200.0,58199
-200.0,293,-200.0,58399
-200.0,294,-200.0,58599
-200.0,295,-200.0,58799
-200.0,296,-200.0,58999
-200.0,297,-200.0,59199
-200.0,298,-200.0,59399
-200.0,299,-200.0,59599
-200.0,300,-200.0,59799
-200.0,301,-200.0,59999
-200.0,302,-200.0,60199
-200.0,303,-200.0,60399
-200.0,304,-200.0,60599
-200.0,305,-200.0,60799
-200.0,306,-200.0,60999
-200.0,307,-200.0,61199
-200.0,308,-200.0,61399
-200.0,309,-200.0,61599
-200.0,310,-200.0,61799
-200.0,311,-200.0,61999
-200.0,312,-200.0,62199
-200.0,313,-200.0,62399
-200.0,314,-200.0,62599
-200.0,315,-200.0,62799
-200.0,316,-200.0,62999
-200.0,317,-200.0,63199
-200.0,318,-200.0,63399
-200.0,319,-200.0,63599
-200.0,320,-200.0,63799
-200.0,321,-200.0,63999
-200.0,322,-200.0,64199
-200.0,323,-200.0,64399
-200.0,324,-200.0,64599
-200.0,325,-200.0,64799
-200.0,326,-200.0,64999
-200.0,327,-200.0,65199
-200.0,328,-200.0,65399
-200.0,329,-200.0,65599
-200.0,330,-200.0,65799
-200.0,331,-200.0,65999
-200.0,332,-200.0,66199
-200.0,333,-200.0,66399
-200.0,334,-200.0,66599
-200.0,335,-200.0,66799
-200.0,336,-200.0,66999
-200.0,337,-200.0,67199
-200.0,338,-200.0,67399
-200.0,339,-200.0,67599
-200.0,340,-200.0,67799
-200.0,341,-200.0,67999
-200.0,342,-200.0,68199
-200.0,343,-200.0,68399
-200.0,344,-200.0,68599
-200.0,345,-200.0,68799
-200.0,346,-200.0,68999
-200.0,347,-200.0,69199
-200.0,348,-200.0,69399
-200.0,349,-200.0,69599
