reward,% time spent exploring,mean 100 episode reward,episodes,head,steps
-200.0,98,-200.0,2,6,199
-200.0,96,-200.0,3,1,399
-200.0,94,-200.0,4,2,599
-200.0,92,-200.0,5,3,799
-200.0,91,-200.0,6,3,999
-200.0,89,-200.0,7,0,1199
-200.0,87,-200.0,8,6,1399
-200.0,85,-200.0,9,1,1599
-200.0,83,-200.0,10,4,1799
-200.0,82,-200.0,11,5,1999
-200.0,80,-200.0,12,9,2199
-200.0,78,-200.0,13,2,2399
-200.0,76,-200.0,14,6,2599
-200.0,74,-200.0,15,0,2799
-200.0,73,-200.0,16,5,2999
-200.0,71,-200.0,17,8,3199
-200.0,69,-200.0,18,2,3399
-200.0,67,-200.0,19,9,3599
-200.0,65,-200.0,20,3,3799
-200.0,64,-200.0,21,4,3999
-200.0,62,-200.0,22,3,4199
-200.0,60,-200.0,23,1,4399
-200.0,58,-200.0,24,7,4599
-200.0,56,-200.0,25,0,4799
-200.0,55,-200.0,26,2,4999
-200.0,53,-200.0,27,6,5199
-200.0,51,-200.0,28,2,5399
-200.0,49,-200.0,29,0,5599
-200.0,47,-200.0,30,4,5799
-200.0,46,-200.0,31,6,5999
-200.0,44,-200.0,32,9,6199
-200.0,42,-200.0,33,0,6399
-200.0,40,-200.0,34,0,6599
-200.0,38,-200.0,35,9,6799
-200.0,37,-200.0,36,8,6999
-200.0,35,-200.0,37,9,7199
-200.0,33,-200.0,38,6,7399
-200.0,31,-200.0,39,1,7599
-200.0,29,-200.0,40,8,7799
-200.0,28,-200.0,41,4,7999
-200.0,26,-200.0,42,0,8199
-200.0,24,-200.0,43,4,8399
-200.0,22,-200.0,44,1,8599
-200.0,20,-200.0,45,5,8799
-200.0,19,-200.0,46,5,8999
-200.0,17,-200.0,47,3,9199
-200.0,15,-200.0,48,4,9399
-200.0,13,-200.0,49,5,9599
-200.0,11,-200.0,50,5,9799
-200.0,10,-200.0,51,0,9999
-200.0,9,-200.0,52,6,10199
-200.0,9,-200.0,53,6,10399
-200.0,9,-200.0,54,3,10599
-200.0,9,-200.0,55,2,10799
-200.0,9,-200.0,56,4,10999
-200.0,9,-200.0,57,3,11199
-200.0,9,-200.0,58,9,11399
-200.0,9,-200.0,59,6,11599
-200.0,9,-200.0,60,7,11799
-200.0,9,-200.0,61,4,11999
-200.0,9,-200.0,62,1,12199
-200.0,9,-200.0,63,4,12399
-200.0,9,-200.0,64,9,12599
-200.0,9,-200.0,65,5,12799
-200.0,9,-200.0,66,3,12999
-200.0,9,-200.0,67,5,13199
-200.0,9,-200.0,68,0,13399
-200.0,9,-200.0,69,2,13599
-200.0,9,-200.0,70,9,13799
-200.0,9,-200.0,71,6,13999
-200.0,9,-200.0,72,4,14199
-200.0,9,-200.0,73,7,14399
-200.0,9,-200.0,74,6,14599
-200.0,9,-200.0,75,2,14799
-200.0,9,-200.0,76,3,14999
-200.0,9,-200.0,77,2,15199
-200.0,9,-200.0,78,6,15399
-200.0,9,-200.0,79,4,15599
-200.0,9,-200.0,80,5,15799
-200.0,9,-200.0,81,0,15999
-200.0,9,-200.0,82,0,16199
-200.0,9,-200.0,83,5,16399
-200.0,9,-200.0,84,4,16599
-200.0,9,-200.0,85,0,16799
-200.0,9,-200.0,86,3,16999
-200.0,9,-200.0,87,7,17199
-200.0,9,-200.0,88,9,17399
-200.0,9,-200.0,89,6,17599
-200.0,9,-200.0,90,8,17799
-200.0,9,-200.0,91,6,17999
-200.0,9,-200.0,92,1,18199
-200.0,9,-200.0,93,4,18399
-200.0,9,-200.0,94,9,18599
-200.0,9,-200.0,95,6,18799
-200.0,9,-200.0,96,5,18999
-200.0,9,-200.0,97,9,19199
-200.0,9,-200.0,98,2,19399
-200.0,9,-200.0,99,4,19599
-200.0,9,-200.0,100,0,19799
-200.0,9,-200.0,101,8,19999
-200.0,9,-200.0,102,4,20199
-200.0,9,-200.0,103,4,20399
-200.0,9,-200.0,104,3,20599
-200.0,9,-200.0,105,7,20799
-200.0,9,-200.0,106,3,20999
-200.0,9,-200.0,107,6,21199
-200.0,9,-200.0,108,1,21399
-200.0,9,-200.0,109,4,21599
-200.0,9,-200.0,110,3,21799
-200.0,9,-200.0,111,8,21999
-200.0,9,-200.0,112,8,22199
-200.0,9,-200.0,113,6,22399
-200.0,9,-200.0,114,9,22599
-200.0,9,-200.0,115,8,22799
-200.0,9,-200.0,116,4,22999
-200.0,9,-200.0,117,9,23199
-200.0,9,-200.0,118,4,23399
-200.0,9,-200.0,119,1,23599
-200.0,9,-200.0,120,4,23799
-200.0,9,-200.0,121,1,23999
-200.0,9,-200.0,122,4,24199
-200.0,9,-200.0,123,3,24399
-200.0,9,-200.0,124,2,24599
-200.0,9,-200.0,125,8,24799
-200.0,9,-200.0,126,0,24999
-200.0,9,-200.0,127,1,25199
-200.0,9,-200.0,128,4,25399
-200.0,9,-200.0,129,6,25599
-200.0,9,-200.0,130,5,25799
-200.0,9,-200.0,131,4,25999
-200.0,9,-200.0,132,2,26199
-200.0,9,-200.0,133,0,26399
-200.0,9,-200.0,134,1,26599
-200.0,9,-200.0,135,2,26799
-200.0,9,-200.0,136,5,26999
-200.0,9,-200.0,137,2,27199
-200.0,9,-200.0,138,0,27399
-200.0,9,-200.0,139,1,27599
-200.0,9,-200.0,140,4,27799
-200.0,9,-200.0,141,7,27999
-200.0,9,-200.0,142,7,28199
-200.0,9,-200.0,143,9,28399
-200.0,9,-200.0,144,1,28599
-200.0,9,-200.0,145,6,28799
-200.0,9,-200.0,146,1,28999
-200.0,9,-200.0,147,3,29199
-200.0,9,-200.0,148,0,29399
-200.0,9,-200.0,149,1,29599
-200.0,9,-200.0,150,8,29799
-200.0,9,-200.0,151,4,29999
-200.0,9,-200.0,152,8,30199
-200.0,9,-200.0,153,8,30399
-200.0,9,-200.0,154,8,30599
-200.0,9,-200.0,155,8,30799
-200.0,9,-200.0,156,3,30999
-200.0,9,-200.0,157,9,31199
-200.0,9,-200.0,158,5,31399
-200.0,9,-200.0,159,1,31599
-200.0,9,-200.0,160,6,31799
-200.0,9,-200.0,161,3,31999
-200.0,9,-200.0,162,2,32199
-200.0,9,-200.0,163,3,32399
-200.0,9,-200.0,164,1,32599
-200.0,9,-200.0,165,9,32799
-200.0,9,-200.0,166,3,32999
-200.0,9,-200.0,167,2,33199
-200.0,9,-200.0,168,2,33399
-200.0,9,-200.0,169,8,33599
-200.0,9,-200.0,170,9,33799
-200.0,9,-200.0,171,3,33999
-200.0,9,-200.0,172,5,34199
-200.0,9,-200.0,173,9,34399
-200.0,9,-200.0,174,1,34599
-200.0,9,-200.0,175,7,34799
-200.0,9,-200.0,176,4,34999
-200.0,9,-200.0,177,0,35199
-200.0,9,-200.0,178,8,35399
-200.0,9,-200.0,179,3,35599
-200.0,9,-200.0,180,1,35799
-200.0,9,-200.0,181,4,35999
-200.0,9,-200.0,182,7,36199
-200.0,9,-200.0,183,2,36399
-200.0,9,-200.0,184,2,36599
-200.0,9,-200.0,185,4,36799
-200.0,9,-200.0,186,0,36999
-200.0,9,-200.0,187,8,37199
-200.0,9,-200.0,188,3,37399
-200.0,9,-200.0,189,5,37599
-200.0,9,-200.0,190,2,37799
-200.0,9,-200.0,191,4,37999
-200.0,9,-200.0,192,7,38199
-200.0,9,-200.0,193,5,38399
-200.0,9,-200.0,194,0,38599
-200.0,9,-200.0,195,2,38799
-200.0,9,-200.0,196,4,38999
-200.0,9,-200.0,197,6,39199
-200.0,9,-200.0,198,6,39399
-200.0,9,-200.0,199,2,39599
-200.0,9,-200.0,200,7,39799
-200.0,9,-200.0,201,2,39999
-200.0,9,-200.0,202,5,40199
-200.0,9,-200.0,203,1,40399
-200.0,9,-200.0,204,5,40599
-200.0,9,-200.0,205,3,40799
-200.0,9,-200.0,206,7,40999
-200.0,9,-200.0,207,7,41199
-200.0,9,-200.0,208,1,41399
-200.0,9,-200.0,209,2,41599
-200.0,9,-200.0,210,1,41799
-200.0,9,-200.0,211,5,41999
-200.0,9,-200.0,212,8,42199
-200.0,9,-200.0,213,0,42399
-200.0,9,-200.0,214,8,42599
-200.0,9,-200.0,215,6,42799
-200.0,9,-200.0,216,5,42999
-200.0,9,-200.0,217,6,43199
-200.0,9,-200.0,218,4,43399
-200.0,9,-200.0,219,7,43599
-200.0,9,-200.0,220,8,43799
-200.0,9,-200.0,221,7,43999
-200.0,9,-200.0,222,1,44199
-200.0,9,-200.0,223,8,44399
-200.0,9,-200.0,224,2,44599
-200.0,9,-200.0,225,2,44799
-200.0,9,-200.0,226,7,44999
-200.0,9,-200.0,227,0,45199
-200.0,9,-200.0,228,1,45399
-200.0,9,-200.0,229,0,45599
-200.0,9,-200.0,230,5,45799
-200.0,9,-200.0,231,9,45999
-200.0,9,-200.0,232,0,46199
-200.0,9,-200.0,233,0,46399
-200.0,9,-200.0,234,7,46599
-200.0,9,-200.0,235,4,46799
-200.0,9,-200.0,236,3,46999
-200.0,9,-200.0,237,2,47199
-200.0,9,-200.0,238,6,47399
