episodes,% time spent exploring,head,reward,mean 100 episode reward,steps
2,99,6,-200.0,-200.0,199
3,99,1,-200.0,-200.0,399
4,98,2,-200.0,-200.0,599
5,98,3,-200.0,-200.0,799
6,98,3,-200.0,-200.0,999
7,97,0,-200.0,-200.0,1199
8,97,6,-200.0,-200.0,1399
9,97,1,-200.0,-200.0,1599
10,96,4,-200.0,-200.0,1799
11,96,5,-200.0,-200.0,1999
12,96,9,-200.0,-200.0,2199
13,95,2,-200.0,-200.0,2399
14,95,6,-200.0,-200.0,2599
15,94,0,-200.0,-200.0,2799
16,94,5,-200.0,-200.0,2999
17,94,8,-200.0,-200.0,3199
18,93,2,-200.0,-200.0,3399
19,93,9,-200.0,-200.0,3599
20,93,3,-200.0,-200.0,3799
21,92,4,-200.0,-200.0,3999
22,92,3,-200.0,-200.0,4199
23,92,1,-200.0,-200.0,4399
24,91,7,-200.0,-200.0,4599
25,91,0,-200.0,-200.0,4799
26,91,2,-200.0,-200.0,4999
27,90,6,-200.0,-200.0,5199
28,90,2,-200.0,-200.0,5399
29,89,0,-200.0,-200.0,5599
30,89,4,-200.0,-200.0,5799
31,89,6,-200.0,-200.0,5999
32,88,9,-200.0,-200.0,6199
33,88,0,-200.0,-200.0,6399
34,88,0,-200.0,-200.0,6599
35,87,9,-200.0,-200.0,6799
36,87,8,-200.0,-200.0,6999
37,87,9,-200.0,-200.0,7199
38,86,6,-200.0,-200.0,7399
39,86,1,-200.0,-200.0,7599
40,85,8,-200.0,-200.0,7799
41,85,4,-200.0,-200.0,7999
42,85,0,-200.0,-200.0,8199
43,84,4,-200.0,-200.0,8399
44,84,1,-200.0,-200.0,8599
45,84,5,-200.0,-200.0,8799
46,83,5,-200.0,-200.0,8999
47,83,3,-200.0,-200.0,9199
48,83,4,-200.0,-200.0,9399
49,82,5,-200.0,-200.0,9599
50,82,5,-200.0,-200.0,9799
51,82,0,-200.0,-200.0,9999
52,81,6,-200.0,-200.0,10199
53,81,6,-200.0,-200.0,10399
54,80,3,-200.0,-200.0,10599
55,80,2,-200.0,-200.0,10799
56,80,4,-200.0,-200.0,10999
57,79,3,-200.0,-200.0,11199
58,79,9,-200.0,-200.0,11399
59,79,6,-200.0,-200.0,11599
60,78,7,-200.0,-200.0,11799
61,78,4,-200.0,-200.0,11999
62,78,1,-200.0,-200.0,12199
63,77,4,-200.0,-200.0,12399
64,77,9,-200.0,-200.0,12599
65,76,5,-200.0,-200.0,12799
66,76,3,-200.0,-200.0,12999
67,76,5,-200.0,-200.0,13199
68,75,0,-200.0,-200.0,13399
69,75,2,-200.0,-200.0,13599
70,75,9,-200.0,-200.0,13799
71,74,6,-200.0,-200.0,13999
72,74,4,-200.0,-200.0,14199
73,74,7,-200.0,-200.0,14399
74,73,6,-200.0,-200.0,14599
75,73,2,-200.0,-200.0,14799
76,73,3,-200.0,-200.0,14999
77,72,2,-200.0,-200.0,15199
78,72,6,-200.0,-200.0,15399
79,71,4,-200.0,-200.0,15599
80,71,5,-200.0,-200.0,15799
81,71,0,-200.0,-200.0,15999
82,70,0,-200.0,-200.0,16199
83,70,5,-200.0,-200.0,16399
84,70,4,-200.0,-200.0,16599
85,69,0,-200.0,-200.0,16799
